"","run","Id","coverage","LAURING_ID","dup"
"1","cali09","1112",17796.126555862,"1112",NA
"2","cali09","1120",14165.7260937616,"1120",NA
"3","cali09","1132",20704.3069240516,"1132",NA
"4","cali09","1136",11082.6229410449,"1136",NA
"5","cali09","1137",12298.3623015577,"1137",NA
"6","cali09","1142",10574.7346649773,"1142",NA
"7","cali09","1143",8475.06335246329,"1143",NA
"8","cali09","1144",9664.3154952672,"1144",NA
"9","cali09","1156",8933.80867556086,"1156",NA
"10","cali09","1157",8403.51397480808,"1157",NA
"11","cali09","1158",17558.2309756279,"1158",NA
"12","cali09","1311",22466.1707535217,"1311",NA
"13","cali09","1336",1047.70045464709,"1336",NA
"14","cali09","1339",17492.1978087501,"1339",NA
"15","cali09","1346",13089.4557650742,"1346",NA
"16","cali09","1347",13690.3116941194,"1347",NA
"17","cali09","1348",13448.8957292987,"1348",NA
"18","cali09","1349",16567.9669821868,"1349",NA
"19","cali09","1350",16007.1413132593,"1350",NA
"20","cali09","1351",11924.3669970932,"1351",NA
"21","cali09","1353",22387.8859655661,"1353",NA
"22","cali09","1356",9390.16419467839,"1356",NA
"23","cali09","1357",27779.9668331222,"1357",NA
"24","cali09","1360",20551.7433852575,"1360",NA
"25","cali09","1361",2190.42274726094,"1361",NA
"26","cali09","1362",11986.1688156816,"1362",NA
"27","cali09","1363",20934.0114779757,"1363",NA
"28","cali09","1364",3535.10427070135,"1364",NA
"29","cali09","1366",17357.1611388537,"1366",NA
"30","cali09","1367",15380.3409107848,"1367",NA
"31","cali09","1368",1747.34314675412,"1368",NA
"32","cali09","1369",4370.71633002907,"1369",NA
"33","cali09","1370",25905.5102481926,"1370",NA
"34","cali09","1371",24670.1033763136,"1371",NA
"35","cali09","1372",6180.30640232541,"1372",NA
"36","cali09","1374",20425.8584631438,"1374",NA
"37","cali09","1376",30650.1255124096,"1376",NA
"38","cali09","1401",29609.6329283744,"1401",NA
"39","cali09","1402",11608.8491466051,"1402",NA
"40","cali09","1403",28632.8056197362,"1403",NA
"41","cali09","1404",14861.1015130059,"1404",NA
"42","cali09","1405",27920.600581352,"1405",NA
"43","cali09","1406",24173.0304837147,"1406",NA
"44","cali09","1407",9734.20160989789,"1407",NA
"45","cali09","1408",22106.8311097861,"1408",NA
"46","cali09","1409",7815.05217261683,"1409",NA
"47","cali09","1410",28818.7697696952,"1410",NA
"48","cali09","1411",27548.9613922635,"1411",NA
"49","cali09","1413",28128.487739435,"1413",NA
"50","cali09","1414",24927.4897518074,"1414",NA
"51","cali09","1415",27812.137884773,"1415",NA
"52","cali09","Cali_mp",33817.9119773422,"Cali","mp"
"53","cali09","Cali_pool",34614.0992025043,"Cali","pool"
"54","cali09_2","1112",16560.3519415667,"1112",NA
"55","cali09_2","1137",15518.7611239472,"1137",NA
"56","cali09_2","1142",13154.7246776478,"1142",NA
"57","cali09_2","1143",12544.6040843706,"1143",NA
"58","cali09_2","1144",12368.8827606768,"1144",NA
"59","cali09_2","1346",15904.2130133413,"1346",NA
"60","cali09_2","1347",8858.94179026608,"1347",NA
"61","cali09_2","1348",17541.0910039502,"1348",NA
"62","cali09_2","1350",25942.514198405,"1350",NA
"63","cali09_2","1351",16140.6796601327,"1351",NA
"64","cali09_2","1353",15176.3279421629,"1353",NA
"65","cali09_2","1357",15804.180219125,"1357",NA
"66","cali09_2","1362",11016.0397257211,"1362",NA
"67","cali09_2","1363",15305.5708429604,"1363",NA
"68","cali09_2","1364",20340.0164716405,"1364",NA
"69","cali09_2","1371",15189.489900872,"1371",NA
"70","cali09_2","1374",20698.702839681,"1374",NA
"71","cali09_2","1401",16783.8255198629,"1401",NA
"72","cali09_2","1402",9750.70023105016,"1402",NA
"73","cali09_2","1403",17582.6158604755,"1403",NA
"74","cali09_2","1405",16961.2000447194,"1405",NA
"75","cali09_2","1406",21433.5768055452,"1406",NA
"76","cali09_2","1408",19853.2326898711,"1408",NA
"77","cali09_2","1410",21851.4054557651,"1410",NA
"78","cali09_2","1411",15240.9119028099,"1411",NA
"79","cali09_2","1413",17264.9771931132,"1413",NA
"80","cali09_2","1414",10921.400387568,"1414",NA
"81","cali09_2","1415",13578.1404188716,"1415",NA
"82","cali09_2","Cali_pool",23058.4104494298,"Cali","pool"
"83","HK_1","HS1294_B",22182.0537309027,"HS1294","B"
"84","HK_1","HS1341_B",17618.767362905,"HS1341","B"
"85","HK_1","HS1345_B",17046.3110930696,"HS1345","B"
"86","HK_1","HS1357_B",22746.6631485718,"HS1357","B"
"87","HK_1","HS1364_B",15975.8963761163,"HS1364","B"
"88","HK_1","HS1375_B",14087.0642851871,"HS1375","B"
"89","HK_1","HS1377_B",9210.92324156764,"HS1377","B"
"90","HK_1","HS1381_B",21531.0866484611,"HS1381","B"
"91","HK_1","HS1402_B",18671.7642630452,"HS1402","B"
"92","HK_1","HS1409_B",20903.4263045243,"HS1409","B"
"93","HK_1","HS1416_B",20022.697911285,"HS1416","B"
"94","HK_1","HS1417_B",13704.418997712,"HS1417","B"
"95","HK_1","HS1421_B",16702.1447339287,"HS1421","B"
"96","HK_1","HS1425_B",11715.7437449258,"HS1425","B"
"97","HK_1","HS1427_B",22787.0813344158,"HS1427","B"
"98","HK_1","HS1448_B",18321.8610967599,"HS1448","B"
"99","HK_1","HS1455_B",22784.3759687062,"HS1455","B"
"100","HK_1","HS1457_B",23131.9664181858,"HS1457","B"
"101","HK_1","HS1461_B",20345.4503653406,"HS1461","B"
"102","HK_1","HS1465_B",22492.8266292715,"HS1465","B"
"103","HK_1","HS1484_B",11399.8631633331,"HS1484","B"
"104","HK_1","HS1487_B",22592.8994759761,"HS1487","B"
"105","HK_1","HS1516_B",18773.3715403351,"HS1516","B"
"106","HK_1","HS1518_B",22260.1837774005,"HS1518","B"
"107","HK_1","HS1519_B",14521.3648239722,"HS1519","B"
"108","HK_1","HS1525_B",9458.18894383349,"HS1525","B"
"109","HK_1","HS1530_B",16310.2539670824,"HS1530","B"
"110","HK_1","HS1531_B",19112.6695697099,"HS1531","B"
"111","HK_1","HS1532_B",17362.6094914754,"HS1532","B"
"112","HK_1","HS1535_B",20800.5900804487,"HS1535","B"
"113","HK_1","HS1536_B",19751.0526238099,"HS1536","B"
"114","HK_1","HS1543_B",19718.8033065171,"HS1543","B"
"115","HK_1","HS1562_B",12186.0569045686,"HS1562","B"
"116","HK_1","HS1566_B",10927.7289098826,"HS1566","B"
"117","HK_1","HS1567_B",19287.7375452063,"HS1567","B"
"118","HK_1","HS1573_B",17966.7977710532,"HS1573","B"
"119","HK_1","HS1579_B",15221.0221418555,"HS1579","B"
"120","HK_1","MH8451_B",5063.493615765,"MH8451","B"
"121","HK_1","MH8453_B",239.796147317145,"MH8453","B"
"122","HK_1","MH8586_A",16959.6522252565,"MH8586","A"
"123","HK_1","MH8588_A",274.385858734962,"MH8588","A"
"124","HK_1","MH8589_A",23079.0641375747,"MH8589","A"
"125","HK_1","MH8592_A",23957.0419957192,"MH8592","A"
"126","HK_1","MH8594_A",3473.14657908333,"MH8594","A"
"127","HK_1","MH8611_A",6796.62351465053,"MH8611","A"
"128","HK_1","MH8688_A",3743.47848549708,"MH8688","A"
"129","HK_1","MH8689_B",2574.82507934165,"MH8689","B"
"130","HK_1","MH8690_A",2553.28149678943,"MH8690","A"
"131","HK_1","MH8691_B",4027.36511919699,"MH8691","B"
"132","HK_1","MH8692_A",21576.8109085541,"MH8692","A"
"133","HK_1","MH8700_A",22286.528747509,"MH8700","A"
"134","HK_1","MH8714_A",24339.5178979999,"MH8714","A"
"135","HK_1","MH8765_B",14348.2475459444,"MH8765","B"
"136","HK_1","MH8766_B",18112.2135950993,"MH8766","B"
"137","HK_1","MH8922_A",18013.9111373533,"MH8922","A"
"138","HK_1","MH8924_A",14893.9867148867,"MH8924","A"
"139","HK_1","MH8925_A",19976.5482323419,"MH8925","A"
