"Ne","iteration"
44.0,1
29.0,2
28.0,3
29.0,4
53.0,5
29.0,6
29.0,7
33.0,8
32.0,9
34.0,10
34.0,11
38.0,12
33.0,13
47.0,14
29.0,15
33.0,16
39.0,17
32.0,18
32.0,19
31.0,20
33.0,21
32.0,22
33.0,23
32.0,24
33.0,25
39.0,26
29.0,27
29.0,28
50.0,29
32.0,30
48.0,31
44.0,32
29.0,33
29.0,34
33.0,35
42.0,36
29.0,37
29.0,38
43.0,39
50.0,40
33.0,41
48.0,42
39.0,43
44.0,44
40.0,45
29.0,46
29.0,47
40.0,48
29.0,49
29.0,50
40.0,51
32.0,52
40.0,53
32.0,54
32.0,55
32.0,56
42.0,57
39.0,58
33.0,59
33.0,60
32.0,61
40.0,62
38.0,63
32.0,64
29.0,65
32.0,66
34.0,67
34.0,68
33.0,69
31.0,70
32.0,71
33.0,72
31.0,73
29.0,74
33.0,75
32.0,76
29.0,77
35.0,78
40.0,79
32.0,80
29.0,81
33.0,82
29.0,83
42.0,84
32.0,85
53.0,86
44.0,87
47.0,88
29.0,89
33.0,90
33.0,91
32.0,92
46.0,93
31.0,94
32.0,95
32.0,96
44.0,97
32.0,98
39.0,99
32.0,100
33.0,101
53.0,102
32.0,103
42.0,104
38.0,105
48.0,106
28.0,107
46.0,108
29.0,109
34.0,110
32.0,111
40.0,112
32.0,113
32.0,114
32.0,115
38.0,116
28.0,117
29.0,118
42.0,119
33.0,120
38.0,121
32.0,122
33.0,123
33.0,124
44.0,125
32.0,126
32.0,127
42.0,128
28.0,129
44.0,130
42.0,131
33.0,132
34.0,133
29.0,134
32.0,135
33.0,136
32.0,137
32.0,138
50.0,139
39.0,140
33.0,141
52.0,142
34.0,143
40.0,144
29.0,145
32.0,146
33.0,147
42.0,148
32.0,149
28.0,150
31.0,151
29.0,152
33.0,153
44.0,154
43.0,155
32.0,156
52.0,157
39.0,158
32.0,159
29.0,160
29.0,161
44.0,162
35.0,163
29.0,164
32.0,165
39.0,166
29.0,167
33.0,168
42.0,169
32.0,170
29.0,171
33.0,172
32.0,173
40.0,174
32.0,175
33.0,176
32.0,177
43.0,178
48.0,179
44.0,180
33.0,181
32.0,182
33.0,183
34.0,184
29.0,185
29.0,186
32.0,187
31.0,188
29.0,189
43.0,190
33.0,191
44.0,192
33.0,193
43.0,194
42.0,195
47.0,196
43.0,197
32.0,198
32.0,199
28.0,200
33.0,201
48.0,202
34.0,203
40.0,204
33.0,205
33.0,206
32.0,207
33.0,208
44.0,209
54.0,210
39.0,211
39.0,212
42.0,213
29.0,214
46.0,215
38.0,216
33.0,217
28.0,218
33.0,219
29.0,220
31.0,221
48.0,222
29.0,223
32.0,224
38.0,225
33.0,226
39.0,227
29.0,228
33.0,229
34.0,230
38.0,231
44.0,232
29.0,233
34.0,234
28.0,235
42.0,236
47.0,237
29.0,238
33.0,239
32.0,240
52.0,241
40.0,242
32.0,243
32.0,244
33.0,245
33.0,246
46.0,247
52.0,248
43.0,249
50.0,250
33.0,251
39.0,252
38.0,253
32.0,254
44.0,255
48.0,256
29.0,257
32.0,258
32.0,259
32.0,260
29.0,261
33.0,262
28.0,263
29.0,264
34.0,265
33.0,266
48.0,267
42.0,268
33.0,269
31.0,270
44.0,271
33.0,272
32.0,273
33.0,274
33.0,275
42.0,276
43.0,277
34.0,278
31.0,279
32.0,280
33.0,281
32.0,282
42.0,283
44.0,284
39.0,285
45.0,286
50.0,287
42.0,288
42.0,289
34.0,290
29.0,291
38.0,292
29.0,293
32.0,294
32.0,295
32.0,296
29.0,297
47.0,298
32.0,299
39.0,300
32.0,301
40.0,302
29.0,303
34.0,304
39.0,305
33.0,306
32.0,307
29.0,308
31.0,309
45.0,310
33.0,311
32.0,312
32.0,313
33.0,314
33.0,315
32.0,316
38.0,317
