"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121457","HS1401_B","HK_2","HS1401_B.1.1.HK2.fastq.gz","HS1401_B.2.1.HK2.fastq.gz","./data/raw/HK_2/HS1401_B.1.1.fastq","./data/raw/HK_2/HS1401_B.2.1.fastq"
"2","SRR6121428","MH8160_B","HK_2","MH8160_B.1.1.HK2.fastq.gz","MH8160_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8160_B.1.1.fastq","./data/raw/HK_2/MH8160_B.2.1.fastq"
"3","SRR6121358","MH8165_B","HK_2","MH8165_B.1.1.HK2.fastq.gz","MH8165_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8165_B.1.1.fastq","./data/raw/HK_2/MH8165_B.2.1.fastq"
"4","SRR6121424","MH8156_B","HK_2","MH8156_B.1.1.HK2.fastq.gz","MH8156_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8156_B.1.1.fastq","./data/raw/HK_2/MH8156_B.2.1.fastq"
"5","SRR6121422","MH8158_B","HK_2","MH8158_B.1.1.HK2.fastq.gz","MH8158_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8158_B.1.1.fastq","./data/raw/HK_2/MH8158_B.2.1.fastq"
"6","SRR6121420","MH8159_B","HK_2","MH8159_B.1.1.HK2.fastq.gz","MH8159_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8159_B.1.1.fastq","./data/raw/HK_2/MH8159_B.2.1.fastq"
"7","SRR6121392","MH9045_B","HK_2","MH9045_B.1.1.HK2.fastq.gz","MH9045_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH9045_B.1.1.fastq","./data/raw/HK_2/MH9045_B.2.1.fastq"
"8","SRR6121404","MH7505_B","HK_2","MH7505_B.1.1.HK2.fastq.gz","MH7505_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH7505_B.1.1.fastq","./data/raw/HK_2/MH7505_B.2.1.fastq"
"9","SRR6121376","MH8586_B","HK_2","MH8586_B.1.1.HK2.fastq.gz","MH8586_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8586_B.1.1.fastq","./data/raw/HK_2/MH8586_B.2.1.fastq"
"10","SRR6121367","MH8396_B","HK_2","MH8396_B.1.1.HK2.fastq.gz","MH8396_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8396_B.1.1.fastq","./data/raw/HK_2/MH8396_B.2.1.fastq"
"11","SRR6121366","MH8439_B","HK_2","MH8439_B.1.1.HK2.fastq.gz","MH8439_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8439_B.1.1.fastq","./data/raw/HK_2/MH8439_B.2.1.fastq"
"12","SRR6121362","MH8447_B","HK_2","MH8447_B.1.1.HK2.fastq.gz","MH8447_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH8447_B.1.1.fastq","./data/raw/HK_2/MH8447_B.2.1.fastq"
"13","SRR6121226","MH7884_B","HK_2","MH7884_B.1.1.HK2.fastq.gz","MH7884_B.2.1.HK2.fastq.gz","./data/raw/HK_2/MH7884_B.1.1.fastq","./data/raw/HK_2/MH7884_B.2.1.fastq"
