"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121434","1346","cali09","1346.1.1.cali09.fastq.gz","1346.2.1.cali09.fastq.gz","./data/raw/cali09/1346.1.1.fastq","./data/raw/cali09/1346.2.1.fastq"
"2","SRR6121432","1347","cali09","1347.1.1.cali09.fastq.gz","1347.2.1.cali09.fastq.gz","./data/raw/cali09/1347.1.1.fastq","./data/raw/cali09/1347.2.1.fastq"
"3","SRR6121430","1348","cali09","1348.1.1.cali09.fastq.gz","1348.2.1.cali09.fastq.gz","./data/raw/cali09/1348.1.1.fastq","./data/raw/cali09/1348.2.1.fastq"
"4","SRR6121429","1349","cali09","1349.1.1.cali09.fastq.gz","1349.2.1.cali09.fastq.gz","./data/raw/cali09/1349.1.1.fastq","./data/raw/cali09/1349.2.1.fastq"
"5","SRR6121402","1351","cali09","1351.1.1.cali09.fastq.gz","1351.2.1.cali09.fastq.gz","./data/raw/cali09/1351.1.1.fastq","./data/raw/cali09/1351.2.1.fastq"
"6","SRR6121399","1411","cali09","1411.1.1.cali09.fastq.gz","1411.2.1.cali09.fastq.gz","./data/raw/cali09/1411.1.1.fastq","./data/raw/cali09/1411.2.1.fastq"
"7","SRR6121397","1413","cali09","1413.1.1.cali09.fastq.gz","1413.2.1.cali09.fastq.gz","./data/raw/cali09/1413.1.1.fastq","./data/raw/cali09/1413.2.1.fastq"
"8","SRR6121395","1408","cali09","1408.1.1.cali09.fastq.gz","1408.2.1.cali09.fastq.gz","./data/raw/cali09/1408.1.1.fastq","./data/raw/cali09/1408.2.1.fastq"
"9","SRR6121390","1414","cali09","1414.1.1.cali09.fastq.gz","1414.2.1.cali09.fastq.gz","./data/raw/cali09/1414.1.1.fastq","./data/raw/cali09/1414.2.1.fastq"
"10","SRR6121393","1410","cali09","1410.1.1.cali09.fastq.gz","1410.2.1.cali09.fastq.gz","./data/raw/cali09/1410.1.1.fastq","./data/raw/cali09/1410.2.1.fastq"
"11","SRR6121328","1362","cali09","1362.1.1.cali09.fastq.gz","1362.2.1.cali09.fastq.gz","./data/raw/cali09/1362.1.1.fastq","./data/raw/cali09/1362.2.1.fastq"
"12","SRR6121326","1357","cali09","1357.1.1.cali09.fastq.gz","1357.2.1.cali09.fastq.gz","./data/raw/cali09/1357.1.1.fastq","./data/raw/cali09/1357.2.1.fastq"
"13","SRR6121324","1353","cali09","1353.1.1.cali09.fastq.gz","1353.2.1.cali09.fastq.gz","./data/raw/cali09/1353.1.1.fastq","./data/raw/cali09/1353.2.1.fastq"
"14","SRR6121320","1350","cali09","1350.1.1.cali09.fastq.gz","1350.2.1.cali09.fastq.gz","./data/raw/cali09/1350.1.1.fastq","./data/raw/cali09/1350.2.1.fastq"
"15","SRR6121288","Cali_pool","cali09","Cali_pool.1.1.cali09.fastq.gz","Cali_pool.2.1.cali09.fastq.gz","./data/raw/cali09/Cali_pool.1.1.fastq","./data/raw/cali09/Cali_pool.2.1.fastq"
"16","SRR6121286","1415","cali09","1415.1.1.cali09.fastq.gz","1415.2.1.cali09.fastq.gz","./data/raw/cali09/1415.1.1.fastq","./data/raw/cali09/1415.2.1.fastq"
"17","SRR6121255","1370","cali09","1370.1.1.cali09.fastq.gz","1370.2.1.cali09.fastq.gz","./data/raw/cali09/1370.1.1.fastq","./data/raw/cali09/1370.2.1.fastq"
"18","SRR6121257","1371","cali09","1371.1.1.cali09.fastq.gz","1371.2.1.cali09.fastq.gz","./data/raw/cali09/1371.1.1.fastq","./data/raw/cali09/1371.2.1.fastq"
"19","SRR6121252","1364","cali09","1364.1.1.cali09.fastq.gz","1364.2.1.cali09.fastq.gz","./data/raw/cali09/1364.1.1.fastq","./data/raw/cali09/1364.2.1.fastq"
"20","SRR6121250","1363","cali09","1363.1.1.cali09.fastq.gz","1363.2.1.cali09.fastq.gz","./data/raw/cali09/1363.1.1.fastq","./data/raw/cali09/1363.2.1.fastq"
"21","SRR6121249","1374","cali09","1374.1.1.cali09.fastq.gz","1374.2.1.cali09.fastq.gz","./data/raw/cali09/1374.1.1.fastq","./data/raw/cali09/1374.2.1.fastq"
