"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121435","1346","cali09_2","1346.1.1.cali09_2.fastq.gz","1346.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1346.1.1.fastq","./data/raw/cali09_2/1346.2.1.fastq"
"2","SRR6121433","1347","cali09_2","1347.1.1.cali09_2.fastq.gz","1347.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1347.1.1.fastq","./data/raw/cali09_2/1347.2.1.fastq"
"3","SRR6121431","1348","cali09_2","1348.1.1.cali09_2.fastq.gz","1348.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1348.1.1.fastq","./data/raw/cali09_2/1348.2.1.fastq"
"4","SRR6121401","1351","cali09_2","1351.1.1.cali09_2.fastq.gz","1351.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1351.1.1.fastq","./data/raw/cali09_2/1351.2.1.fastq"
"5","SRR6121400","1411","cali09_2","1411.1.1.cali09_2.fastq.gz","1411.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1411.1.1.fastq","./data/raw/cali09_2/1411.2.1.fastq"
"6","SRR6121398","1413","cali09_2","1413.1.1.cali09_2.fastq.gz","1413.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1413.1.1.fastq","./data/raw/cali09_2/1413.2.1.fastq"
"7","SRR6121396","1408","cali09_2","1408.1.1.cali09_2.fastq.gz","1408.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1408.1.1.fastq","./data/raw/cali09_2/1408.2.1.fastq"
"8","SRR6121391","1414","cali09_2","1414.1.1.cali09_2.fastq.gz","1414.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1414.1.1.fastq","./data/raw/cali09_2/1414.2.1.fastq"
"9","SRR6121394","1410","cali09_2","1410.1.1.cali09_2.fastq.gz","1410.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1410.1.1.fastq","./data/raw/cali09_2/1410.2.1.fastq"
"10","SRR6121327","1362","cali09_2","1362.1.1.cali09_2.fastq.gz","1362.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1362.1.1.fastq","./data/raw/cali09_2/1362.2.1.fastq"
"11","SRR6121325","1357","cali09_2","1357.1.1.cali09_2.fastq.gz","1357.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1357.1.1.fastq","./data/raw/cali09_2/1357.2.1.fastq"
"12","SRR6121323","1353","cali09_2","1353.1.1.cali09_2.fastq.gz","1353.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1353.1.1.fastq","./data/raw/cali09_2/1353.2.1.fastq"
"13","SRR6121319","1350","cali09_2","1350.1.1.cali09_2.fastq.gz","1350.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1350.1.1.fastq","./data/raw/cali09_2/1350.2.1.fastq"
"14","SRR6121287","Cali_pool","cali09_2","Cali_pool.1.1.cali09_2.fastq.gz","Cali_pool.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/Cali_pool.1.1.fastq","./data/raw/cali09_2/Cali_pool.2.1.fastq"
"15","SRR6121285","1415","cali09_2","1415.1.1.cali09_2.fastq.gz","1415.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1415.1.1.fastq","./data/raw/cali09_2/1415.2.1.fastq"
"16","SRR6121254","1371","cali09_2","1371.1.1.cali09_2.fastq.gz","1371.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1371.1.1.fastq","./data/raw/cali09_2/1371.2.1.fastq"
"17","SRR6121253","1364","cali09_2","1364.1.1.cali09_2.fastq.gz","1364.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1364.1.1.fastq","./data/raw/cali09_2/1364.2.1.fastq"
"18","SRR6121251","1363","cali09_2","1363.1.1.cali09_2.fastq.gz","1363.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1363.1.1.fastq","./data/raw/cali09_2/1363.2.1.fastq"
"19","SRR6121256","1374","cali09_2","1374.1.1.cali09_2.fastq.gz","1374.2.1.cali09_2.fastq.gz","./data/raw/cali09_2/1374.1.1.fastq","./data/raw/cali09_2/1374.2.1.fastq"
