"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121447","1203","perth","1203.1.1.perth.fastq.gz","1203.2.1.perth.fastq.gz","./data/raw/perth/1203.1.1.fastq","./data/raw/perth/1203.2.1.fastq"
"2","SRR6121446","1179","perth","1179.1.1.perth.fastq.gz","1179.2.1.perth.fastq.gz","./data/raw/perth/1179.1.1.fastq","./data/raw/perth/1179.2.1.fastq"
"3","SRR6121445","1185","perth","1185.1.1.perth.fastq.gz","1185.2.1.perth.fastq.gz","./data/raw/perth/1185.1.1.fastq","./data/raw/perth/1185.2.1.fastq"
"4","SRR6121443","1201","perth","1201.1.1.perth.fastq.gz","1201.2.1.perth.fastq.gz","./data/raw/perth/1201.1.1.fastq","./data/raw/perth/1201.2.1.fastq"
"5","SRR6121441","1174","perth","1174.1.1.perth.fastq.gz","1174.2.1.perth.fastq.gz","./data/raw/perth/1174.1.1.fastq","./data/raw/perth/1174.2.1.fastq"
"6","SRR6121440","1175","perth","1175.1.1.perth.fastq.gz","1175.2.1.perth.fastq.gz","./data/raw/perth/1175.1.1.fastq","./data/raw/perth/1175.2.1.fastq"
"7","SRR6121360","1125","perth","1125.1.1.perth.fastq.gz","1125.2.1.perth.fastq.gz","./data/raw/perth/1125.1.1.fastq","./data/raw/perth/1125.2.1.fastq"
"8","SRR6121403","1121","perth","1121.1.1.perth.fastq.gz","1121.2.1.perth.fastq.gz","./data/raw/perth/1121.1.1.fastq","./data/raw/perth/1121.2.1.fastq"
"9","SRR6121406","1122","perth","1122.1.1.perth.fastq.gz","1122.2.1.perth.fastq.gz","./data/raw/perth/1122.1.1.fastq","./data/raw/perth/1122.2.1.fastq"
"10","SRR6121516","1134","perth","1134.1.1.perth.fastq.gz","1134.2.1.perth.fastq.gz","./data/raw/perth/1134.1.1.fastq","./data/raw/perth/1134.2.1.fastq"
"11","SRR6121344","1173","perth","1173.1.1.perth.fastq.gz","1173.2.1.perth.fastq.gz","./data/raw/perth/1173.1.1.fastq","./data/raw/perth/1173.2.1.fastq"
"12","SRR6121339","1164","perth","1164.1.1.perth.fastq.gz","1164.2.1.perth.fastq.gz","./data/raw/perth/1164.1.1.fastq","./data/raw/perth/1164.2.1.fastq"
"13","SRR6121341","1162","perth","1162.1.1.perth.fastq.gz","1162.2.1.perth.fastq.gz","./data/raw/perth/1162.1.1.fastq","./data/raw/perth/1162.2.1.fastq"
"14","SRR6121337","1165","perth","1165.1.1.perth.fastq.gz","1165.2.1.perth.fastq.gz","./data/raw/perth/1165.1.1.fastq","./data/raw/perth/1165.2.1.fastq"
"15","SRR6121335","1168","perth","1168.1.1.perth.fastq.gz","1168.2.1.perth.fastq.gz","./data/raw/perth/1168.1.1.fastq","./data/raw/perth/1168.2.1.fastq"
"16","SRR6121336","1171","perth","1171.1.1.perth.fastq.gz","1171.2.1.perth.fastq.gz","./data/raw/perth/1171.1.1.fastq","./data/raw/perth/1171.2.1.fastq"
"17","SRR6121247","Perth_mp","perth","Perth_mp.1.1.perth.fastq.gz","Perth_mp.2.1.perth.fastq.gz","./data/raw/perth/Perth_mp.1.1.fastq","./data/raw/perth/Perth_mp.2.1.fastq"
"18","SRR6121218","1154","perth","1154.1.1.perth.fastq.gz","1154.2.1.perth.fastq.gz","./data/raw/perth/1154.1.1.fastq","./data/raw/perth/1154.2.1.fastq"
