"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121448","1203","perth_2","1203.1.1.perth_2.fastq.gz","1203.2.1.perth_2.fastq.gz","./data/raw/perth_2/1203.1.1.fastq","./data/raw/perth_2/1203.2.1.fastq"
"2","SRR6121439","1179","perth_2","1179.1.1.perth_2.fastq.gz","1179.2.1.perth_2.fastq.gz","./data/raw/perth_2/1179.1.1.fastq","./data/raw/perth_2/1179.2.1.fastq"
"3","SRR6121444","1201","perth_2","1201.1.1.perth_2.fastq.gz","1201.2.1.perth_2.fastq.gz","./data/raw/perth_2/1201.1.1.fastq","./data/raw/perth_2/1201.2.1.fastq"
"4","SRR6121442","1174","perth_2","1174.1.1.perth_2.fastq.gz","1174.2.1.perth_2.fastq.gz","./data/raw/perth_2/1174.1.1.fastq","./data/raw/perth_2/1174.2.1.fastq"
"5","SRR6121408","1125","perth_2","1125.1.1.perth_2.fastq.gz","1125.2.1.perth_2.fastq.gz","./data/raw/perth_2/1125.1.1.fastq","./data/raw/perth_2/1125.2.1.fastq"
"6","SRR6121610","1121","perth_2","1121.1.1.perth_2.fastq.gz","1121.2.1.perth_2.fastq.gz","./data/raw/perth_2/1121.1.1.fastq","./data/raw/perth_2/1121.2.1.fastq"
"7","SRR6121479","1122","perth_2","1122.1.1.perth_2.fastq.gz","1122.2.1.perth_2.fastq.gz","./data/raw/perth_2/1122.1.1.fastq","./data/raw/perth_2/1122.2.1.fastq"
"8","SRR6121377","1134","perth_2","1134.1.1.perth_2.fastq.gz","1134.2.1.perth_2.fastq.gz","./data/raw/perth_2/1134.1.1.fastq","./data/raw/perth_2/1134.2.1.fastq"
"9","SRR6121343","1173","perth_2","1173.1.1.perth_2.fastq.gz","1173.2.1.perth_2.fastq.gz","./data/raw/perth_2/1173.1.1.fastq","./data/raw/perth_2/1173.2.1.fastq"
"10","SRR6121342","1164","perth_2","1164.1.1.perth_2.fastq.gz","1164.2.1.perth_2.fastq.gz","./data/raw/perth_2/1164.1.1.fastq","./data/raw/perth_2/1164.2.1.fastq"
"11","SRR6121217","1162","perth_2","1162.1.1.perth_2.fastq.gz","1162.2.1.perth_2.fastq.gz","./data/raw/perth_2/1162.1.1.fastq","./data/raw/perth_2/1162.2.1.fastq"
"12","SRR6121340","1165","perth_2","1165.1.1.perth_2.fastq.gz","1165.2.1.perth_2.fastq.gz","./data/raw/perth_2/1165.1.1.fastq","./data/raw/perth_2/1165.2.1.fastq"
"13","SRR6121338","1168","perth_2","1168.1.1.perth_2.fastq.gz","1168.2.1.perth_2.fastq.gz","./data/raw/perth_2/1168.1.1.fastq","./data/raw/perth_2/1168.2.1.fastq"
"14","SRR6121246","Perth_mp","perth_2","Perth_mp.1.1.perth_2.fastq.gz","Perth_mp.2.1.perth_2.fastq.gz","./data/raw/perth_2/Perth_mp.1.1.fastq","./data/raw/perth_2/Perth_mp.2.1.fastq"
"15","SRR6121211","1154","perth_2","1154.1.1.perth_2.fastq.gz","1154.2.1.perth_2.fastq.gz","./data/raw/perth_2/1154.1.1.fastq","./data/raw/perth_2/1154.2.1.fastq"
"16","SRR6121215","1150","perth_2","1150.1.1.perth_2.fastq.gz","1150.2.1.perth_2.fastq.gz","./data/raw/perth_2/1150.1.1.fastq","./data/raw/perth_2/1150.2.1.fastq"
