"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121604","1323","victoria_2","1323.1.1.vic_2.fastq.gz","1323.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1323.1.1.fastq","./data/raw/victoria_2/1323.2.1.fastq"
"2","SRR6121437","1340","victoria_2","1340.1.1.vic_2.fastq.gz","1340.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1340.1.1.fastq","./data/raw/victoria_2/1340.2.1.fastq"
"3","SRR6121378","Vic_pool","victoria_2","Vic_pool.1.1.vic_2.fastq.gz","Vic_pool.2.1.vic_2.fastq.gz","./data/raw/victoria_2/Vic_pool.1.1.fastq","./data/raw/victoria_2/Vic_pool.2.1.fastq"
"4","SRR6121374","1240","victoria_2","1240.1.1.vic_2.fastq.gz","1240.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1240.1.1.fastq","./data/raw/victoria_2/1240.2.1.fastq"
"5","SRR6121292","1238","victoria_2","1238.1.1.vic_2.fastq.gz","1238.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1238.1.1.fastq","./data/raw/victoria_2/1238.2.1.fastq"
"6","SRR6121372","1232","victoria_2","1232.1.1.vic_2.fastq.gz","1232.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1232.1.1.fastq","./data/raw/victoria_2/1232.2.1.fastq"
"7","SRR6121258","1231","victoria_2","1231.1.1.vic_2.fastq.gz","1231.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1231.1.1.fastq","./data/raw/victoria_2/1231.2.1.fastq"
"8","SRR6121370","1237","victoria_2","1237.1.1.vic_2.fastq.gz","1237.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1237.1.1.fastq","./data/raw/victoria_2/1237.2.1.fastq"
"9","SRR6121266","1230","victoria_2","1230.1.1.vic_2.fastq.gz","1230.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1230.1.1.fastq","./data/raw/victoria_2/1230.2.1.fastq"
"10","SRR6121262","1228","victoria_2","1228.1.1.vic_2.fastq.gz","1228.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1228.1.1.fastq","./data/raw/victoria_2/1228.2.1.fastq"
"11","SRR6121264","1229","victoria_2","1229.1.1.vic_2.fastq.gz","1229.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1229.1.1.fastq","./data/raw/victoria_2/1229.2.1.fastq"
"12","SRR6121261","1225","victoria_2","1225.1.1.vic_2.fastq.gz","1225.2.1.vic_2.fastq.gz","./data/raw/victoria_2/1225.1.1.fastq","./data/raw/victoria_2/1225.2.1.fastq"
