"","outcomes","Ne"
"1",33,30
"2",27,30
"3",27,30
"4",32,30
"5",32,30
"6",41,30
"7",31,30
"8",35,30
"9",27,30
"10",32,30
"11",32,30
"12",27,30
"13",45,30
"14",33,30
"15",47,30
"16",42,30
"17",34,30
"18",33,30
"19",28,30
"20",43,30
"21",33,30
"22",32,30
"23",35,30
"24",41,30
"25",47,30
"26",32,30
"27",32,30
"28",33,30
"29",37,30
"30",29,30
"31",32,30
"32",40,30
"33",32,30
"34",35,30
"35",31,30
"36",33,30
"37",33,30
"38",32,30
"39",34,30
"40",35,30
"41",33,30
"42",31,30
"43",73,30
"44",41,30
"45",35,30
"46",33,30
"47",32,30
"48",33,30
"49",33,30
"50",41,30
"51",33,30
"52",32,30
"53",40,30
"54",32,30
"55",28,30
"56",48,30
"57",33,30
"58",33,30
"59",33,30
"60",33,30
"61",27,30
"62",33,30
"63",32,30
"64",40,30
"65",35,30
"66",33,30
"67",32,30
"68",32,30
"69",32,30
"70",34,30
"71",34,30
"72",43,30
"73",35,30
"74",33,30
"75",33,30
"76",33,30
"77",33,30
"78",31,30
"79",33,30
"80",33,30
"81",34,30
"82",32,30
"83",32,30
"84",30,30
"85",32,30
"86",36,30
"87",32,30
"88",32,30
"89",30,30
"90",35,30
"91",33,30
"92",33,30
"93",33,30
"94",33,30
"95",40,30
"96",30,30
"97",33,30
"98",32,30
"99",43,30
"100",30,30
"101",41,30
"102",33,30
"103",27,30
"104",32,30
"105",32,30
"106",32,30
"107",33,30
"108",30,30
"109",33,30
"110",32,30
"111",33,30
"112",33,30
"113",32,30
"114",33,30
"115",33,30
"116",32,30
"117",33,30
"118",32,30
"119",30,30
"120",33,30
"121",34,30
"122",33,30
"123",32,30
"124",32,30
"125",45,30
"126",32,30
"127",31,30
"128",33,30
"129",33,30
"130",32,30
"131",30,30
"132",30,30
"133",32,30
"134",33,30
"135",27,30
"136",33,30
"137",32,30
"138",30,30
"139",30,30
"140",33,30
"141",32,30
"142",32,30
"143",30,30
"144",35,30
"145",32,30
"146",30,30
"147",35,30
"148",28,30
"149",32,30
"150",33,30
"151",40,30
"152",47,30
"153",32,30
"154",33,30
"155",33,30
"156",32,30
"157",33,30
"158",33,30
"159",30,30
"160",33,30
"161",34,30
"162",40,30
"163",33,30
"164",35,30
"165",33,30
"166",30,30
"167",51,30
"168",33,30
"169",30,30
"170",32,30
"171",32,30
"172",27,30
"173",33,30
"174",32,30
"175",43,30
"176",32,30
"177",38,30
"178",39,30
"179",32,30
"180",39,30
"181",32,30
"182",32,30
"183",29,30
"184",32,30
"185",30,30
"186",35,30
"187",34,30
"188",32,30
"189",38,30
"190",30,30
"191",33,30
"192",32,30
"193",33,30
"194",33,30
"195",32,30
"196",32,30
"197",32,30
"198",54,30
"199",44,30
"200",32,30
"201",33,30
"202",36,30
"203",34,30
"204",44,30
"205",48,30
"206",30,30
"207",33,30
"208",30,30
"209",31,30
"210",32,30
"211",27,30
"212",30,30
"213",32,30
"214",35,30
"215",40,30
"216",32,30
"217",29,30
"218",33,30
"219",32,30
"220",32,30
"221",33,30
