"","mu","Ne","Log.likelihood"
"1",1e-06,10,-5392.67019353211
"2",2e-06,10,-5083.25490594234
"3",3e-06,10,-4937.67653404052
"4",4e-06,10,-4859.23748518545
"5",5e-06,10,-4817.58838632086
"6",6e-06,10,-4799.2108174939
"7",7e-06,10,-4796.8936419184
"8",8e-06,10,-4806.3324536483
"9",9e-06,10,-4824.75082266899
"10",1e-06,11,-5356.44076621041
"11",2e-06,11,-5051.42614928793
"12",3e-06,11,-4910.4252866256
"13",4e-06,11,-4836.56409667843
"14",5e-06,11,-4799.49320643128
"15",6e-06,11,-4785.69419597356
"16",7e-06,11,-4787.95592855998
"17",8e-06,11,-4801.97399828622
"18",9e-06,11,-4824.9719751794
"19",1e-06,12,-5324.38759718173
"20",2e-06,12,-5023.56680966446
"21",3e-06,12,-4886.76299295286
"22",4e-06,12,-4817.09918995908
"23",5e-06,12,-4784.22602771173
"24",6e-06,12,-4774.62508634245
"25",7e-06,12,-4781.08522914975
"26",8e-06,12,-4799.30205027216
"27",9e-06,12,-4826.49911978015
"28",1e-06,13,-5295.96684208091
"29",2e-06,13,-4999.0001467331
"30",3e-06,13,-4866.05362909835
"31",4e-06,13,-4800.24745654227
"32",5e-06,13,-4771.23225613797
"33",6e-06,13,-4765.48960806138
"34",7e-06,13,-4775.80837565557
"35",8e-06,13,-4797.88415310377
"36",9e-06,13,-4828.94051052025
"37",1e-06,14,-5270.58954989951
"38",2e-06,14,-4977.20632401978
"39",3e-06,14,-4847.81211052112
"40",4e-06,14,-4785.55856317934
"41",5e-06,14,-4760.09630911234
"42",6e-06,14,-4757.90692854194
"43",7e-06,14,-4771.7792848563
"44",8e-06,14,-4797.40897228361
"45",9e-06,14,-4832.01956098402
"46",1e-06,15,-5247.88469978205
"47",2e-06,15,-4957.77795239815
"48",3e-06,15,-4831.66094887822
"49",4e-06,15,-4772.6849219185
"50",5e-06,15,-4750.50049868306
"51",6e-06,15,-4751.58925943907
"52",7e-06,15,-4768.7400676213
"53",8e-06,15,-4797.64851750374
"54",9e-06,15,-4835.53817929241
"55",1e-06,16,-5227.46966859377
"56",2e-06,16,-4940.39022805491
"57",3e-06,16,-4817.30125198263
"58",4e-06,16,-4761.35355199422
