"","mu","Ne","LL"
"1",1e-06,10,-3807.49960888778
"2",2e-06,10,-3564.67565378435
"3",3e-06,10,-3451.48486780657
"4",4e-06,10,-3391.41676020137
"5",5e-06,10,-3360.45805511353
"6",6e-06,10,-3347.91259923115
"7",7e-06,10,-3348.07473873028
"8",8e-06,10,-3357.53870682015
"9",9e-06,10,-3374.10771415752
"10",1e-06,11,-3779.14805043327
"11",2e-06,11,-3539.97240211823
"12",3e-06,11,-3430.56908356003
"13",4e-06,11,-3374.28874218972
"14",5e-06,11,-3347.11810218852
"15",6e-06,11,-3338.36101028175
"16",7e-06,11,-3342.3118126817
"17",8e-06,11,-3355.56474263447
"18",9e-06,11,-3375.9230108337
"19",1e-06,12,-3754.09883707495
"20",2e-06,12,-3518.40427267645
"21",3e-06,12,-3412.4845927695
"22",4e-06,12,-3359.68818230401
"23",5e-06,12,-3336.00176549987
"24",6e-06,12,-3330.72918911993
"25",7e-06,12,-3338.16479941522
"26",8e-06,12,-3354.90282966984
"27",9e-06,12,-3378.74649061579
"28",1e-06,13,-3731.92081715514
"29",2e-06,13,-3499.43565280593
"30",3e-06,13,-3396.72792025207
"31",4e-06,13,-3347.14374195929
"32",5e-06,13,-3326.66984218698
"33",6e-06,13,-3324.61006773734
"34",7e-06,13,-3335.25876490097
"35",8e-06,13,-3355.21016700159
"36",9e-06,13,-3382.26748481015
"37",1e-06,14,-3712.14806002108
"38",2e-06,14,-3482.65505688274
"39",3e-06,14,-3382.9149887495
"40",4e-06,14,-3336.29875166768
"41",5e-06,14,-3318.79306993658
"42",6e-06,14,-3319.70179039919
"43",7e-06,14,-3333.31925938624
"44",8e-06,14,-3356.23971026151
"45",9e-06,14,-3386.26635383676
"46",1e-06,15,-3694.48662674366
"47",2e-06,15,-3467.73998008759
"48",3e-06,15,-3370.74686811136
"49",4e-06,15,-3326.87785555935
"50",5e-06,15,-3312.11966677202
"51",6e-06,15,-3315.77614863287
"52",7e-06,15,-3332.1416475141
"53",8e-06,15,-3357.81039682042
"54",9e-06,15,-3390.58560740449
"55",1e-06,16,-3678.63384482117
"56",2e-06,16,-3454.43328534536
"57",3e-06,16,-3359.98685157544
"58",4e-06,16,-3318.66477695439
"59",5e-06,16,-3306.45378586369
"60",6e-06,16,-3312.65772522882
"61",7e-06,16,-3331.57094146281
"62",8e-06,16,-3359.78766801237
"63",9e-06,16,-3395.11111577144
"64",1e-06,17,-3664.3637956587
"65",2e-06,17,-3442.52687876701
"66",3e-06,17,-3350.44466984756
"67",4e-06,17,-3311.48707104064
"68",5e-06,17,-3301.64080676973
"69",6e-06,17,-3310.20972400182
"70",7e-06,17,-3331.48816919199
"71",8e-06,17,-3362.07037582823
"72",9e-06,17,-3399.75955484639
"73",1e-06,18,-3651.48425183342
"74",2e-06,18,-3431.85014244209
"75",3e-06,18,-3341.96535042599
"76",4e-06,18,-3305.20541070376
"77",5e-06,18,-3297.5570477402
"78",6e-06,18,-3308.32410854442
"79",7e-06,18,-3331.80093961288
"80",8e-06,18,-3364.58177447558
"81",9e-06,18,-3404.46982411
"82",1e-06,19,-3639.85148615101
"83",2e-06,19,-3422.26156034458
"84",3e-06,19,-3334.42118531577
"85",4e-06,19,-3299.70589602454
"86",5e-06,19,-3294.10241697751
"87",6e-06,19,-3306.9145952253
"88",7e-06,19,-3332.43677730621
"89",8e-06,19,-3367.26319679159
"90",9e-06,19,-3409.19706470104
"91",1e-06,20,-3629.32902633009
"92",2e-06,20,-3413.64254030622
"93",3e-06,20,-3327.70582982172
"94",4e-06,20,-3294.89442987807
"95",5e-06,20,-3291.1950650234
"96",6e-06,20,-3305.91158234975
"97",7e-06,20,-3333.33832843685
"98",8e-06,20,-3370.06953689775
"99",9e-06,20,-3413.90841879317
"100",1e-06,21,-3619.8056560366
"101",2e-06,21,-3405.89277908946
"102",3e-06,21,-3321.72989393838
"103",4e-06,21,-3290.69253562595
"104",5e-06,21,-3288.76742874142
"105",6e-06,21,-3305.2584204181
"106",7e-06,21,-3334.45985727674
"107",8e-06,21,-3372.96597297151
"108",9e-06,21,-3418.56700374961
"109",1e-06,22,-3611.18606578203
