"X30","X50","X100"
33.0,66.0,225.0
27.0,75.0,138.0
27.0,58.0,67.0
32.0,47.0,107.0
32.0,59.0,126.0
41.0,69.0,141.0
31.0,48.0,148.0
35.0,75.0,84.0
27.0,49.0,140.0
32.0,69.0,149.0
32.0,46.0,111.0
27.0,69.0,92.0
45.0,53.0,139.0
33.0,49.0,96.0
47.0,87.0,124.0
42.0,63.0,147.0
34.0,49.0,112.0
33.0,40.0,116.0
28.0,53.0,78.0
43.0,50.0,148.0
33.0,38.0,107.0
32.0,60.0,126.0
35.0,54.0,120.0
41.0,46.0,186.0
47.0,43.0,133.0
32.0,61.0,145.0
32.0,41.0,123.0
33.0,79.0,117.0
37.0,68.0,88.0
29.0,65.0,102.0
32.0,72.0,111.0
40.0,63.0,148.0
32.0,72.0,132.0
35.0,57.0,158.0
31.0,35.0,112.0
33.0,49.0,102.0
33.0,63.0,96.0
32.0,43.0,137.0
34.0,47.0,97.0
35.0,51.0,145.0
33.0,45.0,114.0
31.0,60.0,118.0
73.0,64.0,157.0
41.0,73.0,114.0
35.0,63.0,102.0
33.0,69.0,87.0
32.0,43.0,85.0
33.0,53.0,89.0
33.0,46.0,132.0
41.0,76.0,135.0
33.0,55.0,104.0
32.0,50.0,98.0
40.0,44.0,60.0
32.0,56.0,100.0
28.0,52.0,95.0
48.0,50.0,119.0
33.0,50.0,108.0
33.0,54.0,121.0
33.0,81.0,123.0
33.0,62.0,105.0
27.0,33.0,120.0
33.0,52.0,63.0
32.0,64.0,108.0
40.0,53.0,82.0
35.0,33.0,94.0
33.0,57.0,110.0
32.0,56.0,90.0
32.0,61.0,118.0
32.0,62.0,88.0
34.0,52.0,124.0
34.0,52.0,95.0
43.0,49.0,154.0
35.0,50.0,148.0
33.0,60.0,76.0
33.0,48.0,181.0
33.0,75.0,101.0
33.0,40.0,108.0
31.0,40.0,78.0
33.0,50.0,135.0
33.0,59.0,135.0
34.0,51.0,116.0
32.0,53.0,131.0
32.0,65.0,122.0
30.0,57.0,114.0
32.0,71.0,116.0
36.0,44.0,113.0
