Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.00486545	0	0	0	2	0
0	0.0145145	0	0	0	0
0.189038	0	0	0	0	0
0	0.0549878	0	0	0	0
0	0.025025	0	0	0	0
0.0101227	0	0	0	1.22449	0
0.00301276	0	0	0	0	0
0	0.00550551	0	0	0	0
0	0.0570571	0	0	0	0
0.00245448	0	0	0	4	0
0	0.0199169	0	0	1.47059	0
0.000767831	0	0	0	2.93333	0
0	0.0188448	0	0	0	0
0.00519506	0	0	0	3.2	0
0.214842	0	0	0	0.229075	0
0	0.000306732	0	0	4	0
0.193603	0	0	0	0	0
0	0	0	0	0	0
0	0.00632993	0	0	2.70588	0
0	0.0135135	0	0	0	0
0	0.000593368	0	0	2.85714	0
0	0.000143526	0	0	0	0
0	0.0507768	0	0	0	0
0	0.000746812	0	0	0	0
0.0371179	0	0	0	0	0
0	0.0135135	0	0	0	0
0.0352358	0	0	0	0	0
0	0.00292484	0	0	4	0
0.0778367	0	0	0	0	0
0	0.00386909	0	0	4	0
0	0.016016	0	0	0	0
0.043451	0	0	0	0	0
0	0.0165165	0	0	0	0
-0.000455225	0	0	0	0	0
0	0.0265265	0	0	0	0
